"","date","tv.spend","direct.net.home","direct.home","organic.net.home","organic.home","paid.brand.sessions"
"1",2013-08-26,0,462,450,563,247,NA
"2",2013-09-02,0,6680,2190,4790,1978,NA
"3",2013-09-09,0,7198,3375,4949,2234,NA
"4",2013-09-16,0,6207,4831,4762,2226,NA
"5",2013-09-23,0,6086,3795,5041,2023,NA
"6",2013-09-30,0,5052,1834,5478,2299,NA
"7",2013-10-07,0,4289,2965,5515,2904,NA
"8",2013-10-14,0,4091,2543,6222,2966,NA
"9",2013-10-21,0,4539,2116,7521,3203,NA
"10",2013-10-28,0,3450,1946,7003,2920,NA
"11",2013-11-04,0,3919,2092,7456,2903,NA
"12",2013-11-11,0,4640,2524,8566,3079,NA
"13",2013-11-18,0,4819,2341,8533,2983,NA
"14",2013-11-25,0,13050,1804,9591,2323,NA
"15",2013-12-02,0,4574,2390,9652,2819,NA
"16",2013-12-09,0,4988,2385,9209,2728,NA
"17",2013-12-16,0,4756,1931,9421,2319,NA
"18",2013-12-23,0,4953,1274,10394,1409,NA
"19",2013-12-30,0,4482,1726,10482,2212,NA
"20",2014-01-06,0,4698,1912,10357,2400,NA
"21",2014-01-13,0,5135,1955,10598,2445,NA
"22",2014-01-20,0,4823,2200,11740,2697,NA
"23",2014-01-27,0,5293,2310,12098,2684,NA
"24",2014-02-03,0,6661,2155,12489,2849,NA
"25",2014-02-10,0,5418,2208,12296,2893,NA
"26",2014-02-17,0,5169,2145,12170,2794,NA
"27",2014-02-24,0,4885,1789,11556,2335,NA
"28",2014-03-03,0,5565,1780,11349,2358,NA
"29",2014-03-10,0,4812,1964,10745,2303,NA
"30",2014-03-17,0,8007,1981,10725,2286,NA
"31",2014-03-24,0,11021,2180,9529,2233,NA
"32",2014-03-31,0,4826,1895,10084,2185,NA
"33",2014-04-07,0,5232,2389,9964,2164,NA
"34",2014-04-14,0,4363,1729,10261,1986,NA
"35",2014-04-21,0,5370,1927,11154,2103,NA
"36",2014-04-28,0,5143,1827,11407,1941,NA
"37",2014-05-05,36181,4963,2588,11181,2325,NA
"38",2014-05-12,49349,5574,3914,11725,2739,NA
"39",2014-05-19,46744,9458,4802,11964,2942,NA
"40",2014-05-26,51497,6249,4657,13003,3033,NA
"41",2014-06-02,42098,5589,4609,13699,3076,NA
"42",2014-06-09,25370,5234,3528,12611,2753,NA
"43",2014-06-16,28605,6770,3435,11471,2681,NA
"44",2014-06-23,23513,5614,3815,10693,2551,NA
"45",2014-06-30,65165,6643,6530,12530,3742,NA
"46",2014-07-07,60984,9955,10519,14960,4084,NA
"47",2014-07-14,56517,7763,10033,14711,3872,NA
"48",2014-07-21,58021,9327,17906,15180,4185,NA
"49",2014-07-28,49412,8703,10023,16027,4540,NA
"50",2014-08-04,56178,10009,10712,16608,4620,6696
"51",2014-08-11,56808,9790,12077,16540,4234,7530
"52",2014-08-18,76567,11567,16623,18396,4727,9128
"53",2014-08-25,100216,12993,17129,19750,5925,11975
"54",2014-09-01,109004,12557,15344,21500,5710,12618
"55",2014-09-08,110599,13072,13403,20365,5243,11237
"56",2014-09-15,122511,13528,13384,18729,5649,10801
"57",2014-09-22,109227,12543,12295,18189,5027,9896
"58",2014-09-29,164012,14762,13105,19649,5289,10991
"59",2014-10-06,169449,24608,15301,20032,6365,11441
"60",2014-10-13,152183,12983,17678,19418,5511,10057
"61",2014-10-20,153697,16504,14820,21354,4558,10886
"62",2014-10-27,166146,17181,16013,23071,4931,11783
"63",2014-11-03,164143,13911,17083,24762,6797,12184
"64",2014-11-10,131173,17819,15992,26289,6436,11960
"65",2014-11-17,172951,14662,14939,27430,6897,12666
"66",2014-11-24,148551,18244,11590,27269,6003,11466
"67",2014-12-01,219603,26312,15714,29293,7483,13778
"68",2014-12-08,246715,32330,14861,28336,7070,13669
"69",2014-12-15,235259,37213,8470,30146,3823,12407
"70",2014-12-22,90370,20666,2000,29687,1088,8136
"71",2014-12-29,7231,13600,2101,25681,1665,5605
"72",2015-01-05,31315,13898,3815,25028,2169,7215
"73",2015-01-12,45634,12240,6019,23692,3414,7339
"74",2015-01-19,109091,11919,13319,24796,6254,10629
"75",2015-01-26,135416.85,16251,13549,25525,6566,11428
"76",2015-02-02,73715,12233,9580,24156,5449,8400
"77",2015-02-09,15515.15,15093,4972,22019,3423,5961
"78",2015-02-16,0,11110,3255,20890,2486,4597
"79",2015-02-23,13866,9799,6109,18619,3128,5162
"80",2015-03-02,28474,9706,9252,18214,4014,5820
"81",2015-03-09,23818,9803,7737,17671,3824,5545
"82",2015-03-16,8303,9634,5637,16091,3382,4575
"83",2015-03-23,8012,8662,5009,15603,3334,4584
"84",2015-03-30,42040,8971,6735,15670,3972,5950
"85",2015-04-06,29459,9830,5936,17908,3893,5662
"86",2015-04-13,29376,9345,6014,17272,3829,5484
"87",2015-04-20,44284,10917,8232,18121,4641,6540
"88",2015-04-27,25404,9604,5268,17073,3827,5058
"89",2015-05-04,3201,7574,3555,16845,3200,3878
"90",2015-05-11,0,8770,3593,14492,3259,3838
"91",2015-05-18,0,7676,2877,13636,2721,3485
"92",2015-05-25,0,7999,2951,14647,2879,3622
"93",2015-06-01,0,7870,2984,14830,3017,3587
"94",2015-06-08,41724.98660239,8398,5507,15172,3792,4847
"95",2015-06-15,37384.8701979911,8831,5329,15309,3759,4811
"96",2015-06-22,47852.64,8597,7793,16796,3925,5429
"97",2015-06-29,93670.66,8991,8195,16819,4601,6494
"98",2015-07-06,0,7701,5209,16785,3285,4128
"99",2015-07-13,21778,7267,6109,16874,3633,3388
