"","date","Airings","direct.net.home","direct.home","organic.net.home","organic.home","paid.brand.sessions"
"1",2013-09-01,0,462,450,563,247,NA
"2",2013-09-02,0,515,527,701,281,NA
"3",2013-09-03,0,862,454,717,330,NA
"4",2013-09-04,0,1211,298,701,308,NA
"5",2013-09-05,0,1228,253,727,239,NA
"6",2013-09-06,0,1063,240,629,281,NA
"7",2013-09-07,0,874,207,606,251,NA
"8",2013-09-08,0,927,211,709,288,NA
"9",2013-09-09,0,1085,273,779,310,NA
"10",2013-09-10,0,1102,267,727,317,NA
"11",2013-09-11,0,1056,371,625,299,NA
"12",2013-09-12,0,1090,573,744,356,NA
"13",2013-09-13,0,1037,536,706,310,NA
"14",2013-09-14,0,886,696,614,300,NA
"15",2013-09-15,0,942,659,754,342,NA
"16",2013-09-16,0,1067,811,793,387,NA
"17",2013-09-17,0,1126,755,810,376,NA
"18",2013-09-18,0,988,687,657,358,NA
"19",2013-09-19,0,1006,558,632,285,NA
"20",2013-09-20,0,747,682,623,277,NA
"21",2013-09-21,0,679,740,556,242,NA
"22",2013-09-22,0,594,598,691,301,NA
"23",2013-09-23,0,851,663,782,345,NA
"24",2013-09-24,0,818,703,687,359,NA
"25",2013-09-25,0,748,743,697,316,NA
"26",2013-09-26,0,782,719,697,335,NA
"27",2013-09-27,0,954,533,651,279,NA
"28",2013-09-28,0,917,210,723,187,NA
"29",2013-09-29,0,1016,224,804,202,NA
"30",2013-09-30,0,1028,325,885,282,NA
"31",2013-10-01,0,1086,269,870,293,NA
"32",2013-10-02,0,870,275,836,350,NA
"33",2013-10-03,0,650,301,805,381,NA
"34",2013-10-04,0,549,276,673,342,NA
"35",2013-10-05,0,428,214,664,305,NA
"36",2013-10-06,0,441,174,745,346,NA
"37",2013-10-07,0,577,384,954,480,NA
"38",2013-10-08,0,918,355,836,452,NA
"39",2013-10-09,0,1018,585,788,408,NA
"40",2013-10-10,0,513,579,739,427,NA
"41",2013-10-11,0,484,412,686,379,NA
"42",2013-10-12,0,333,324,740,361,NA
"43",2013-10-13,0,446,326,772,397,NA
"44",2013-10-14,0,557,385,952,473,NA
