"","date","tv.spend","direct.net.home","direct.home","organic.net.home","organic.home","paid.brand.sessions","organic.net.home.forecast","organic.home.forecast","direct.net.home.forecast","direct.home.forecast","paid.brand.sessions.forecast"
"1",2013-08-26,0,462,450,563,247,NA,562.437000293724,193.061160430758,461.538000341257,450,NA
"2",2013-09-02,0,6680,2190,4790,1978,NA,651.896729807675,346.919040885616,1564.17356618355,2190,NA
"3",2013-09-09,0,7198,3375,4949,2234,NA,5652.33989644553,2190.509862948,4109.20235172486,3115.20632928965,NA
"4",2013-09-16,0,6207,4831,4762,2226,NA,4981.43719979684,1697.64553507722,5175.65107395704,3789.16808036392,NA
"5",2013-09-23,0,6086,3795,5041,2023,NA,4723.85058891818,2096.13404307848,5454.88707642356,4778.83560954091,NA
"6",2013-09-30,0,5052,1834,5478,2299,NA,5097.9181053039,1941.20959408687,5623.56695304397,3955.60186443743,NA
"7",2013-10-07,0,4289,2965,5515,2904,NA,5567.15129755485,2366.07413083518,5418.35455283533,2383.68407235348,NA
"8",2013-10-14,0,4091,2543,6222,2966,NA,5522.54827919801,2873.77822193184,5076.20547157057,3106.438825694,NA
"9",2013-10-21,0,4539,2116,7521,3203,NA,6366.23333494571,2725.27408394576,4799.94453882124,2724.73033728551,NA
"10",2013-10-28,0,3450,1946,7003,2920,NA,7786.00580211384,3160.25899338289,4745.92956927462,2333.51813671383,NA
"11",2013-11-04,0,3919,2092,7456,2903,NA,6897.32409122789,2726.68861358719,4351.90761974681,2134.52778532428,NA
"12",2013-11-11,0,4640,2524,8566,3079,NA,7548.41541828912,2924.00861339064,4253.50523369738,2185.72561938915,NA
"13",2013-11-18,0,4819,2341,8533,2983,NA,8792.44837594023,3051.50911264602,4386.54324998543,2476.64942161535,NA
"14",2013-11-25,0,13050,1804,9591,2323,NA,8526.26775098556,2844.08460914728,4510.9930102611,2325.56157244903,NA
"15",2013-12-02,0,4574,2390,9652,2819,NA,9806.83998355384,2171.99388501079,7143.3689827826,1897.57430472235,NA
"16",2013-12-09,0,4988,2385,9209,2728,NA,9664.44446029942,3060.00131517141,6113.82703108063,2308.96715656092,NA
"17",2013-12-16,0,4756,1931,9421,2319,NA,9118.6246571698,2496.22627764517,5826.12063380804,2303.16286482014,NA
"18",2013-12-23,0,4953,1274,10394,1409,NA,9464.24959972913,2215.95257870158,5527.90293304802,1953.74686172457,NA
"19",2013-12-30,0,4482,1726,10482,2212,NA,10592.499342153,1326.03485527053,5380.42345824873,1428.5735776033,NA
"20",2014-01-06,0,4698,1912,10357,2400,NA,10499.9526640385,2604.42370784287,5119.12601488409,1727.81291839799,NA
"21",2014-01-13,0,5135,1955,10598,2445,NA,10331.4990567635,2134.95946005274,5013.93568171994,1854.83774666178,NA
"22",2014-01-20,0,4823,2200,11740,2697,NA,10647.16581856,2341.90258598929,5063.93143289248,1884.40996738657,NA
"23",2014-01-27,0,5293,2310,12098,2684,NA,11972.9766174088,2673.57600066715,4986.50922535176,2071.41193024594,NA
"24",2014-02-03,0,6661,2155,12489,2849,NA,12171.0347014294,2544.36225040257,5087.89250374789,2166.34862582233,NA
"25",2014-02-10,0,5418,2208,12296,2893,NA,12568.7669504438,2823.13719025067,5566.91669390546,2060.88633671931,NA
"26",2014-02-17,0,5169,2145,12170,2794,NA,12256.6265436428,2787.04093152333,5477.49394764158,2104.57179309916,NA
"27",2014-02-24,0,4885,1789,11556,2335,NA,12144.2950492176,2699.64669570109,5384.31783917478,2061.12404385191,NA
"28",2014-03-03,0,5565,1780,11349,2358,NA,11430.7393668223,2224.24231875796,5238.21753626521,1789.31323274254,NA
"29",2014-03-10,0,4812,1964,10745,2303,NA,11306.7704380003,2453.50543315269,5353.39364681356,1766.80861050829,NA
"30",2014-03-17,0,8007,1981,10725,2286,NA,10621.7794422812,2234.58846575895,5177.36455126594,1895.31108601705,NA
"31",2014-03-24,0,11021,2180,9529,2233,NA,10720.9198490822,2249.6787861351,6068.07803099177,1907.19307794347,NA
"32",2014-03-31,0,4826,1895,10084,2185,NA,9285.00697511305,2178.94368410699,7525.09590703682,2059.4884021357,NA
"33",2014-04-07,0,5232,2389,9964,2164,NA,10197.2241879701,2144.1649995848,6550.88832700666,1850.23782980978,NA
"34",2014-04-14,0,4363,1729,10261,1986,NA,9939.51909449295,2127.38793764805,6210.74658567695,2222.4563139211,NA
"35",2014-04-21,0,5370,1927,11154,2103,NA,10321.59024113,1913.98189275276,5677.29870474967,1734.88862980507,NA
"36",2014-04-28,0,5143,1827,11407,1941,NA,11336.1787384816,2135.28988006123,5634.16249722886,1870.1320981729,NA
"37",2014-05-05,36181,4963,2588,11181,2325,NA,12162.6669197948,2432.26701952079,5610.28890218198,4015.85830308265,NA
"38",2014-05-12,49349,5574,3914,11725,2739,NA,11223.6022992095,2517.39111777285,5718.09997469133,3648.6692193173,NA
"39",2014-05-19,46744,9458,4802,11964,2942,NA,11743.6295353572,2758.27323778727,5622.8150470454,3859.57471025591,NA
"40",2014-05-26,51497,6249,4657,13003,3033,NA,12103.5697110072,2964.63819651473,6944.77268930547,4894.08333554581,NA
"41",2014-06-02,42098,5589,4609,13699,3076,NA,13035.2573753116,2751.25637691584,6385.20279217903,4062.00362084164,NA
"42",2014-06-09,25370,5234,3528,12611,2753,NA,13567.9872991841,2779.41561635439,5896.46034835497,3446.83722338108,NA
"43",2014-06-16,28605,6770,3435,11471,2681,NA,12512.3537673777,2684.96333675931,5746.47602102673,3594.25735327487,NA
"44",2014-06-23,23513,5614,3815,10693,2551,NA,11129.9191756618,2535.63640397849,6034.42733484834,3079.5377327555,NA
"45",2014-06-30,65165,6643,6530,12530,3742,NA,11283.9857801359,3239.25721746908,6859.06633998167,6002.79663788193,NA
"46",2014-07-07,60984,9955,10519,14960,4084,NA,12688.2912221167,3721.9475803694,6643.3426447706,6043.41481709157,NA
"47",2014-07-14,56517,7763,10033,14711,3872,NA,15395.9491244089,3871.13802673981,7520.01433992788,9062.43705475723,NA
"48",2014-07-21,58021,9327,17906,15180,4185,NA,14700.1424358498,3678.379664324,7555.53269414807,9184.29736147869,NA
"49",2014-07-28,49412,8703,10023,16027,4540,NA,15125.6280614044,4066.7118877014,7828.40631833218,14823.5979172558,NA
"50",2014-08-04,56178,10009,10712,16608,4620,6696,16343.7581339697,4583.36308396279,8254.25189683097,10015.9645969202,6693.25778645821
