"","date","tv.spend","direct.net.home","direct.home","organic.net.home","organic.home","paid.brand.sessions","organic.net.home.forecast","organic.home.forecast","direct.net.home.forecast","direct.home.forecast","paid.brand.sessions.forecast"
"1",2013-08-26,0,462,450,563,247,NA,562.43700029677,246.753000140357,461.538000341064,449.550000248402,NA
"2",2013-09-02,0,6680,2190,4790,1978,NA,673.187437331027,354.272430282752,1562.72851656249,533.989617554439,NA
"3",2013-09-09,0,7198,3375,4949,2234,NA,5748.84470229681,2113.87712738767,4123.00932240191,2045.95217069435,NA
"4",2013-09-16,0,6207,4831,4762,2226,NA,4985.06725991695,1764.37711353683,5177.27323738738,3108.19745695486,NA
"5",2013-09-23,0,6086,3795,5041,2023,NA,4719.58127292787,2412.6870443572,5447.34416260154,4313.04362090726,NA
"6",2013-09-30,0,5052,1834,5478,2299,NA,5104.28783343917,1891.35411694469,5614.77552122955,3442.39756114582,NA
"7",2013-10-07,0,4289,2965,5515,2904,NA,5577.12825524344,2467.04335547998,5408.5725922146,1882.04016898163,NA
"8",2013-10-14,0,4091,2543,6222,2966,NA,5523.39301016935,2837.38707561722,5069.71789990701,2797.91385145263,NA
"9",2013-10-21,0,4539,2116,7521,3203,NA,6382.37454566844,2859.06723600749,4798.46646573595,2455.07013336843,NA
"10",2013-10-28,0,3450,1946,7003,2920,NA,7815.66270837808,3284.03843080446,4748.30710223968,2109.0360802255,NA
"11",2013-11-04,0,3919,2092,7456,2903,NA,6885.49785762906,2770.01578269114,4353.67712217583,1973.60877004135,NA
"12",2013-11-11,0,4640,2524,8566,3079,NA,7558.7576650464,3054.96213102159,4259.28148123173,2097.47966516515,NA
"13",2013-11-18,0,4819,2341,8533,2983,NA,8817.79030508058,3027.42961642976,4392.87709405874,2444.6855865157,NA
"14",2013-11-25,0,13050,1804,9591,2323,NA,8525.51434228139,2951.5069224214,4514.70605373785,2293.67529108722,NA
"15",2013-12-02,0,4574,2390,9652,2819,NA,9830.99472322095,2259.65614155465,7150.98324007048,1869.6513360028,NA
"16",2013-12-09,0,4988,2385,9209,2728,NA,9665.8371248738,3100.52714641115,6085.94110382012,2338.97220212268,NA
