Date, Revenue , Order Count 
1/1/2013," 1,795 ", 1 
1/2/2013," 21,829 ", 1 
1/3/2013," 72,728 ", 4 
1/4/2013, -   , -   
1/5/2013," 2,517 ", 1 
1/6/2013, -   , -   
1/7/2013," 7,392 ", 1 
1/8/2013," 21,892 ", 3 
1/9/2013, 813 , 1 
1/10/2013, -   , -   
1/11/2013," 11,503 ", 2 
1/12/2013, -   , -   
1/13/2013, -   , -   
1/14/2013," 2,265 ", 1 
1/15/2013," 21,896 ", 3 
1/16/2013," 125,851 ", 2 
1/17/2013," 5,659 ", 2 
1/18/2013, -   , -   
1/19/2013," 11,466 ", 4 
1/20/2013," 2,153 ", 1 
1/21/2013," 24,569 ", 3 
1/22/2013," 8,598 ", 1 
1/23/2013," 16,288 ", 7 
1/24/2013," 7,393 ", 1 
1/25/2013," 25,575 ", 5 
1/26/2013," 1,177 ", 1 
1/27/2013," 17,266 ", 4 
1/28/2013," 42,078 ", 5 
1/29/2013," 142,094 ", 3 
1/30/2013," 60,106 ", 6 
1/31/2013," 2,611 ", 3 
2/1/2013," 12,511 ", 2 
2/2/2013, -   , -   
2/3/2013," 30,319 ", 3 
2/4/2013," 11,613 ", 1 
2/5/2013," 4,894 ", 3 
2/6/2013," 54,004 ", 9 
2/7/2013," 20,697 ", 6 
2/8/2013," 29,678 ", 5 
2/9/2013, -   , -   
2/10/2013," 2,871 ", 2 
2/11/2013," 67,573 ", 6 
2/12/2013," 21,972 ", 7 
2/13/2013," 10,925 ", 3 
2/14/2013," 32,103 ", 3 
2/15/2013," 5,148 ", 3 
2/16/2013," 1,309 ", 3 
2/17/2013," 17,799 ", 2 
2/18/2013," 21,787 ", 3 
2/19/2013," 43,732 ", 7 
2/20/2013," 53,017 ", 5 
2/21/2013," 33,313 ", 3 
2/22/2013," 2,365 ", 1 
2/23/2013," 94,893 ", 7 
2/24/2013," 8,908 ", 1 
2/25/2013," 47,999 ", 5 
2/26/2013," 40,156 ", 4 
2/27/2013," 76,570 ", 6 
2/28/2013," 12,512 ", 4 
3/1/2013," 150,802 ", 3 
3/2/2013," 1,736 ", 1 
3/3/2013," 11,108 ", 4 
3/4/2013," 39,681 ", 6 
3/5/2013," 7,625 ", 2 
3/6/2013," 17,662 ", 3 
3/7/2013," 6,535 ", 4 
3/8/2013," 98,995 ", 7 
3/9/2013," 8,332 ", 4 
3/10/2013," 19,002 ", 5 
3/11/2013," 4,076 ", 2 
3/12/2013," 13,110 ", 3 
3/13/2013," 26,733 ", 2 
3/14/2013," 7,830 ", 2 
3/15/2013, 150 , 1 
3/16/2013," 32,043 ", 5 
3/17/2013," 12,296 ", 5 
3/18/2013," 13,697 ", 4 
3/19/2013," 31,551 ", 4 
3/20/2013," 55,806 ", 8 
3/21/2013," 15,920 ", 3 
3/22/2013," 11,417 ", 3 
3/23/2013, -   , -   
3/24/2013," 176,612 ", 4 
3/25/2013," 92,975 ", 6 
3/26/2013," 10,960 ", 3 
3/27/2013," 33,052 ", 3 
3/28/2013," 15,098 ", 2 
3/29/2013, -   , -   
3/30/2013," 18,927 ", 4 
3/31/2013," 18,776 ", 1 
4/1/2013," 68,778 ", 2 
4/2/2013," 23,257 ", 5 
4/3/2013," 2,702 ", 1 
