"date","GMV","tv.spend","tv_forecasted","organic.all","organic.all.forecast","organic.all.lift","organic.all.lift.low.bound","organic.all.lift.upper.bound","organic.net.home","organic.net.home.forecast","organic.net.home.lift","organic.net.home.lift.low.bound","organic.net.home.lift.upper.bound","organic.home","organic.home.forecast","organic.home.lift","organic.home.lift.low.bound","organic.home.lift.upper.bound","direct.all","direct.all.forecast","direct.all.lift","direct.all.lift.low.bound","direct.all.lift.upper.bound","direct.net.home","direct.net.home.forecast","direct.net.home.lift","direct.net.home.lift.low.bound","direct.net.home.lift.upper.bound","direct.home","direct.home.forecast","direct.home.lift","direct.home.lift.low.bound","direct.home.lift.upper.bound","paid.brand","paid.brand.sessions.forecast","paid.brand.lift","paid.brand.lift.low.bound","paid.brand.lift.upper.bound"
2013-09-02,NA,0,NA,1978,1570.81384597879,0,0,0,4790,4785.21000247453,0,0,0,1978,1584.03640449018,0,0,0,8870,8861.1300059723,0,0,0,6680,6673.32000515386,0,0,0,2190,1401.53221846409,0,0,0,NA,NA,0,0,0
2013-09-09,NA,0,NA,2234,1947.90257901532,0,0,0,4949,4792.57671193878,0,0,0,2234,1951.58685313635,0,0,0,10573,9105.45313824254,0,0,0,7198,6780.99514737849,0,0,0,3375,2057.67123022221,0,0,0,NA,NA,0,0,0
2013-09-16,NA,0,NA,2226,2198.24773709524,0,0,0,4762,4977.50408212934,0,0,0,2226,2198.68486455032,0,0,0,11038,9879.03743693047,0,0,0,6207,6887.63521544878,0,0,0,4831,2985.63202416543,0,0,0,NA,NA,0,0,0
2013-09-23,NA,0,NA,2023,2106.55894583307,0,0,0,5041,4728.47633108275,0,0,0,2023,2106.87211185504,0,0,0,9881,10377.2067052918,0,0,0,6086,6737.13903037964,0,0,0,3795,4275.03787434768,0,0,0,NA,NA,0,0,0
2013-09-30,NA,0,NA,2299,1979.69176776999,0,0,0,5478,5091.0165969407,0,0,0,2299,1985.72833047427,0,0,0,6886,10153.483056566,0,0,0,5052,6265.9335114206,0,0,0,1834,3710.17717758658,0,0,0,NA,NA,0,0,0
2013-10-07,NA,0,NA,2904,2335.21940137288,0,0,0,5515,5556.34140811142,0,0,0,2904,2334.71938774591,0,0,0,7254,8798.06386192098,0,0,0,4289,5848.26421603103,0,0,0,2965,2092.96258543476,0,0,0,NA,NA,0,0,0
2013-10-14,NA,0,NA,2966,2827.11983390795,0,0,0,6222,5521.63302540074,0,0,0,2966,2817.25771195758,0,0,0,6634,8160.71510301095,0,0,0,4091,5224.07601737375,0,0,0,2543,2671.22139018439,0,0,0,NA,NA,0,0,0
2013-10-21,NA,0,NA,3203,2750.63261525815,0,0,0,7521,6348.74456644113,0,0,0,3203,2743.37633354258,0,0,0,6655,7532.17511011572,0,0,0,4539,4800.29622142009,0,0,0,2116,2450.87120893619,0,0,0,NA,NA,0,0,0
2013-10-28,NA,0,NA,2920,3168.89584792113,0,0,0,7003,7753.87297285295,0,0,0,2920,3160.65469760371,0,0,0,5396,7171.21665585357,0,0,0,3450,4820.43992884513,0,0,0,1946,2080.96811956503,0,0,0,NA,NA,0,0,0
2013-11-04,NA,0,NA,2903,2696.14055511213,0,0,0,7456,6910.13764438966,0,0,0,2903,2696.72622545661,0,0,0,6011,6441.08187416278,0,0,0,3919,4566.10144771024,0,0,0,2092,1882.22187404627,0,0,0,NA,NA,0,0,0
2013-11-11,NA,0,NA,3079,2974.02781861597,0,0,0,8566,7537.20974341985,0,0,0,3079,2978.02463222747,0,0,0,7164,6264.21315095707,0,0,0,4640,4150.66843885224,0,0,0,2524,1958.6966426512,0,0,0,NA,NA,0,0,0
2013-11-18,NA,0,NA,2983,2980.33974720371,0,0,0,8533,8764.99076202215,0,0,0,2983,2980.36949295219,0,0,0,7160,6634.25409384243,0,0,0,4819,4474.50610923625,0,0,0,2341,2306.2128888684,0,0,0,NA,NA,0,0,0
2013-11-25,NA,0,NA,2323,2907.43525564326,0,0,0,9591,8527.08405842637,0,0,0,2323,2913.13709484305,0,0,0,14854,6850.47454316441,0,0,0,13050,4818.6983802385,0,0,0,1804,2228.30939406102,0,0,0,NA,NA,0,0,0
2013-12-02,NA,0,NA,2819,2217.81091670609,0,0,0,9652,9780.66867226976,0,0,0,2819,2234.54388006639,0,0,0,6964,10141.9081596592,0,0,0,4574,7421.82258487747,0,0,0,2390,1799.45773240241,0,0,0,NA,NA,0,0,0
2013-12-09,NA,0,NA,2728,3054.22981459563,0,0,0,9209,9662.93552836338,0,0,0,2728,3059.93877376403,0,0,0,7373,8835.00047139512,0,0,0,4988,8007.22928915028,0,0,0,2385,2173.69569305859,0,0,0,NA,NA,0,0,0
2013-12-16,NA,0,NA,2319,2446.48949596831,0,0,0,9421,9129.58296614792,0,0,0,2319,2452.4156270176,0,0,0,6687,8233.75622512151,0,0,0,4756,4747.70455230857,0,0,0,1931,2238.10814418224,0,0,0,NA,NA,0,0,0
2013-12-23,NA,0,NA,1409,2382.46020217823,0,0,0,10394,9459.00544283666,0,0,0,1409,2398.29455959526,0,0,0,6227,7597.65649280177,0,0,0,4953,4778.36934223006,0,0,0,1274,1899.30720649665,0,0,0,NA,NA,0,0,0
2013-12-30,NA,0,NA,2212,1311.76476453877,0,0,0,10482,10568.4306409437,0,0,0,2212,1338.45293383296,0,0,0,6208,7033.97738147617,0,0,0,4482,5476.93176420943,0,0,0,1726,1330.20250137619,0,0,0,NA,NA,0,0,0
2014-01-06,NA,0,NA,2400,2624.72916532632,0,0,0,10357,10497.7758441964,0,0,0,2400,2633.38707742607,0,0,0,6610,6694.29622177476,0,0,0,4698,5189.47088076925,0,0,0,1912,1575.38690473969,0,0,0,NA,NA,0,0,0
2014-01-13,NA,0,NA,2445,2034.12350032949,0,0,0,10598,10334.5911304029,0,0,0,2445,2034.35368141504,0,0,0,7090,6659.62960903315,0,0,0,5135,4804.84091719459,0,0,0,1955,1763.734663258,0,0,0,NA,NA,0,0,0
2014-01-20,NA,0,NA,2697,2539.49686521843,0,0,0,11740,10641.2043005832,0,0,0,2697,2543.82383349941,0,0,0,7023,6836.61836907337,0,0,0,4823,5028.11976411615,0,0,0,2200,1831.29745792794,0,0,0,NA,NA,0,0,0
2014-01-27,NA,0,NA,2684,2540.83368466835,0,0,0,12098,11944.727432639,0,0,0,2684,2534.5899274541,0,0,0,7603,6913.26735431977,0,0,0,5293,5129.74132407668,0,0,0,2310,2032.79756716367,0,0,0,NA,NA,0,0,0
2014-02-03,NA,0,NA,2849,2612.18383634064,0,0,0,12489,12162.1790025261,0,0,0,2849,2613.96832488867,0,0,0,8816,7196.91820061497,0,0,0,6661,5072.82623960134,0,0,0,2155,2154.49320190353,0,0,0,NA,NA,0,0,0
2014-02-10,NA,0,NA,2893,2791.50509736525,0,0,0,12296,12559.0949440997,0,0,0,2893,2787.33053104757,0,0,0,7626,7862.76158992908,0,0,0,5418,5656.77639000876,0,0,0,2208,2057.01263433792,0,0,0,NA,NA,0,0,0
2014-02-17,NA,0,NA,2794,2786.25310487205,0,0,0,12170,12261.4007053421,0,0,0,2794,2786.61797812771,0,0,0,7314,7765.39397109928,0,0,0,5169,5848.76959906611,0,0,0,2145,2080.15246893521,0,0,0,NA,NA,0,0,0
2014-02-24,NA,0,NA,2335,2722.80376755844,0,0,0,11556,12147.4118594461,0,0,0,2335,2725.08569124369,0,0,0,6674,7579.75931586447,0,0,0,4885,5247.99965465084,0,0,0,1789,2035.72906441072,0,0,0,NA,NA,0,0,0
2014-03-03,NA,0,NA,2358,2252.45337058518,0,0,0,11349,11445.9276325391,0,0,0,2358,2265.4350223886,0,0,0,7345,7207.26803531986,0,0,0,5565,5052.52637626961,0,0,0,1780,1752.74271784436,0,0,0,NA,NA,0,0,0
2014-03-10,NA,0,NA,2303,2470.9014112311,0,0,0,10745,11311.8909119472,0,0,0,2303,2481.20066492855,0,0,0,6776,7263.90996546282,0,0,0,4812,5291.87687833699,0,0,0,1964,1694.16755454914,0,0,0,NA,NA,0,0,0
2014-03-17,NA,0,NA,2286,2215.142692425,0,0,0,10725,10636.7203421069,0,0,0,2286,2225.12303319109,0,0,0,9988,7063.25819777778,0,0,0,8007,5312.93226825047,0,0,0,1981,1825.55542460848,0,0,0,NA,NA,0,0,0
2014-03-24,NA,0,NA,2233,2320.93770628046,0,0,0,9529,10721.4145808645,0,0,0,2233,2330.50831662978,0,0,0,13201,8266.05103698917,0,0,0,11021,5976.30875022097,0,0,0,2180,1862.65122912,0,0,0,NA,NA,0,0,0
2014-03-31,1018085,0,NA,2185,2167.83464271645,0,0,0,10084,9314.59193569505,0,0,0,2185,2175.682137819,0,0,0,6721,10295.5366039108,0,0,0,4826,8210.06369700112,0,0,0,1895,2023.07469977552,0,0,0,NA,NA,0,0,0
2014-04-07,516137,0,NA,2164,2187.47236030555,0,0,0,9964,10183.4953810111,0,0,0,2164,2196.27921966321,0,0,0,7621,8825.51725812935,0,0,0,5232,7516.11686151799,0,0,0,2389,1832.28106094141,0,0,0,NA,NA,0,0,0
